id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,place_state_name,place_country_name,place_admin1_name,place_admin2_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
144410,4787497e-09f7-4c5f-bde5-4c152eac2afc,2012-10-28,2012-10-28,,Mumbai,8826,chiefredearth,Chief RedEarth,2012-11-06 05:17:08 UTC,2020-01-15 23:03:37 UTC,research,CC-BY-NC-ND,http://www.inaturalist.org/observations/144410,https://static.inaturalist.org/photos/199561/medium.JPG,,,,1,0,false,,Vellayani Lake,8.4343549,76.9916675,3260,,,,3260,,,false,,,,Thiruvananthapuram,Kerala,India,Kerala,Thiruvananthapuram,Indian Heliotrope,Heliotropium indicum,Indian Heliotrope,Plantae,83492
147884,2a0d32c8-7b21-40f7-a92c-3bcaaa229b58,2012-11-10,2012-11-10,,Mumbai,8826,chiefredearth,Chief RedEarth,2012-11-14 04:17:50 UTC,2024-10-04 13:41:15 UTC,research,CC-BY-NC-ND,http://www.inaturalist.org/observations/147884,https://static.inaturalist.org/photos/203863/medium.JPG,,,,2,0,false,,Braemore kerala,8.7693341,77.0765927,1968,,,,1968,,,false,,,,Thiruvananthapuram,Kerala,India,Kerala,Thiruvananthapuram,Koster's curse,Miconia crenata,Koster's curse,Plantae,1293231
147995,a6a21765-b4f5-4bc2-8e96-5ab97c0130a9,2012-11-02,2012-11-02,,Mumbai,11087,sreejithrc,Sreejith Rc,2012-11-14 16:36:31 UTC,2020-06-11 19:48:47 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/147995,https://static.inaturalist.org/photos/204016/medium.jpg,,,"saw the flower around 7 am at DEVARAYANA DURGA ,Tumkur District,Karnataka,India",1,0,false,,DEVARAYANA DURGA,13.3736776,77.2074614,1068,,,,1068,,open,false,,,,Tumkur,Karnataka,India,Karnataka,Tumkur,yellow trumpet flower,Tecoma stans,yellow trumpet flower,Plantae,48363
147996,5e21214b-a373-4216-b683-e14f9ab12748,2012-11-02,2012-11-02,,Mumbai,11087,sreejithrc,Sreejith Rc,2012-11-14 16:37:03 UTC,2020-01-06 20:19:21 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/147996,https://static.inaturalist.org/photos/204017/medium.jpg,,,"saw the flower around 7 am at DEVARAYANA DURGA ,Tumkur District,Karnataka,India",1,0,false,,DEVARAYANA DURGA,13.3736776,77.2074614,1068,,,,1068,,,false,,,,Tumkur,Karnataka,India,Karnataka,Tumkur,morning-glories,Ipomoea hederifolia,scarlet creeper,Plantae,126300
222599,6c101c01-ae43-4736-a048-88a46ba6e793,2013-03-22,2013-03-22,,Mumbai,8826,chiefredearth,Chief RedEarth,2013-03-25 06:09:24 UTC,2024-04-17 17:04:55 UTC,casual,CC-BY-NC-ND,http://www.inaturalist.org/observations/222599,https://static.inaturalist.org/photos/280401/medium.jpg,,,,3,0,true,,Thiruvananthapuram,8.4874949,76.948623,16228,,,,16228,,,false,,,,Thiruvananthapuram,Kerala,India,Kerala,Thiruvananthapuram,flor de perro,Torenia fournieri,wishbone flower,Plantae,169793
236222,7a2814ac-738f-4e55-91aa-d9ed8c2cdfc4,2013-03-24,2013-03-24,,Mumbai,8826,chiefredearth,Chief RedEarth,2013-04-14 16:40:40 UTC,2024-09-17 07:49:09 UTC,research,CC-BY-NC-ND,http://www.inaturalist.org/observations/236222,https://static.inaturalist.org/photos/296350/medium.jpg,,"Red Brain Flower, Cockscombs, Celosia cristata",,2,0,false,,Thiruvananthapuram,8.4874949,76.948623,16228,,,,16228,,open,false,,,,Thiruvananthapuram,Kerala,India,Kerala,Thiruvananthapuram,Quail Grass,Celosia argentea,Quail Grass,Plantae,160259
241005,73ac87f6-8955-4586-ae76-86b4147ad123,,,,Eastern Time (US & Canada),13594,bheitzman,Bob Heitzman,2013-04-20 02:33:04 UTC,2017-03-05 02:01:21 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/241005,https://inaturalist-open-data.s3.amazonaws.com/photos/301614/medium.jpg,,,"This tree was planted in the neighborhood where I was staying.

The flower's structure reminded me of that of the flowering vine Thumbergia.",3,0,true,,"Madhapur, Hyderabad, India",17.4411482,78.3910691,3823,,,,3823,,open,false,,,,Rangareddi,Telangana,India,Telangana,Ranga Reddy,Tronadora,Tecoma stans,yellow trumpet flower,Plantae,48363
242440,4a993d36-b7cd-43d7-9f8f-5b6986aaa4d6,2013-04-08,2013-04-08,,Mumbai,8826,chiefredearth,Chief RedEarth,2013-04-22 00:53:59 UTC,2020-12-14 05:31:28 UTC,research,CC-BY-NC-ND,http://www.inaturalist.org/observations/242440,https://static.inaturalist.org/photos/303212/medium.jpg,,,,2,0,false,,Thiruvananthapuram,8.4874949,76.948623,16228,,,,16228,,,false,,,,Thiruvananthapuram,Kerala,India,Kerala,Thiruvananthapuram,Tulipán africano,Spathodea campanulata,African tulip tree,Plantae,126566
244266,6895d867-7309-4504-91be-2c8684b39aca,2013-04-18,2013-04-18,,Mumbai,8826,chiefredearth,Chief RedEarth,2013-04-24 16:56:53 UTC,2024-01-27 20:06:20 UTC,research,CC-BY-NC-ND,http://www.inaturalist.org/observations/244266,https://static.inaturalist.org/photos/305486/medium.jpg,,,,3,0,false,,Meppady Wayanad india,11.560947,76.142161,1905,,,,1905,,,false,,,,Wayanad,Kerala,India,Kerala,Wayanad,Tropical Milkweed,Asclepias curassavica,tropical milkweed,Plantae,75602
244866,96af8a70-98bf-4bbf-98ba-0f6c058ea3eb,2013-04-19,2013-04-19,,Mumbai,8826,chiefredearth,Chief RedEarth,2013-04-25 15:52:30 UTC,2020-01-15 23:31:39 UTC,research,CC-BY-NC-ND,http://www.inaturalist.org/observations/244866,https://static.inaturalist.org/photos/306160/medium.jpg,,,,2,0,false,,Meppady Wayanad india,11.560947,76.142161,1905,,,,1905,,,false,,,,Wayanad,Kerala,India,Kerala,Wayanad,tropical soda-apple,Solanum viarum,tropical soda-apple,Plantae,169088
244871,6745a19e-f432-44a5-9e3a-d6825cb249c6,2013-04-19,2013-04-19,,Mumbai,8826,chiefredearth,Chief RedEarth,2013-04-25 16:05:53 UTC,2020-01-15 23:32:06 UTC,research,CC-BY-NC-ND,http://www.inaturalist.org/observations/244871,https://static.inaturalist.org/photos/306172/medium.jpg,,,,1,0,false,,Meppady Wayanad india,11.560947,76.142161,1905,,,,1905,,,false,,,,Wayanad,Kerala,India,Kerala,Wayanad,turkey berry (Solanum torvum),Solanum torvum,Turkey Berry,Plantae,63694
244915,5231618b-e518-4984-b804-1b414e309844,2013-04-19,2013-04-19,,Mumbai,8826,chiefredearth,Chief RedEarth,2013-04-25 17:12:14 UTC,2021-09-18 05:25:01 UTC,casual,CC-BY-NC-ND,http://www.inaturalist.org/observations/244915,https://static.inaturalist.org/photos/306237/medium.jpg,,,,1,0,true,,Meppady Wayanad india,11.560947,76.142161,1905,,,,1905,,,false,,,,Wayanad,Kerala,India,Kerala,Wayanad,Genus Ipomoea,Ipomoea indica,oceanblue morning glory,Plantae,77496
247455,4dc0eb14-129d-4593-b5fb-8f7ec89eb20e,2013-04-20,2013-04-20,,Mumbai,8826,chiefredearth,Chief RedEarth,2013-04-28 16:53:10 UTC,2020-01-15 23:34:25 UTC,research,CC-BY-NC-ND,http://www.inaturalist.org/observations/247455,https://static.inaturalist.org/photos/308937/medium.jpg,,,,3,0,false,,lakkidi wayanad,11.521877,76.024684,1536,,,,1536,,,false,,,,Wayanad,Kerala,India,Kerala,Wayanad,trailing daisy,Sphagneticola trilobata,trailing daisy,Plantae,246102
283614,63f32800-4134-4c78-a335-4694465e2d7e,2013-05-23,2013-05-23,,Mumbai,8826,chiefredearth,Chief RedEarth,2013-05-31 15:20:34 UTC,2014-10-20 03:23:18 UTC,casual,CC-BY-NC-ND,http://www.inaturalist.org/observations/283614,https://static.inaturalist.org/photos/350991/medium.jpg,,,,1,0,true,,Thiruvananthapuram,8.487495,76.948623,16228,,,,16228,,,false,,,,Thiruvananthapuram,Kerala,India,Kerala,Thiruvananthapuram,Pistia stratiotes (Water Lettuce),Pistia stratiotes,water lettuce,Plantae,78589
289117,5ca74664-6343-4407-9cff-22be6b2d0647,2012-07-02 17:24:18,2012-07-02,2012-07-02 11:54:18 UTC,Mumbai,8826,chiefredearth,Chief RedEarth,2013-06-05 04:23:26 UTC,2020-01-15 23:36:27 UTC,research,CC-BY-NC-ND,http://www.inaturalist.org/observations/289117,https://static.inaturalist.org/photos/357779/medium.JPG,,,,5,0,false,,Thiruvananthapuram,8.487495,76.948623,16228,,,,16228,,,false,,,,Thiruvananthapuram,Kerala,India,Kerala,Thiruvananthapuram,castor bean,Ricinus communis,castor bean,Plantae,56739
362787,63609779-9d82-41d4-8ed0-dc77bfd1348e,2013-06-30,2013-06-30,,Central Time (US & Canada),7943,vijaybarve,Vijay Barve,2013-08-11 22:11:39 UTC,2020-01-15 23:38:22 UTC,research,CC-BY,http://www.inaturalist.org/observations/362787,https://inaturalist-open-data.s3.amazonaws.com/photos/452930/medium.JPG,,"VijayBarve, FloraIndia, diversityindia",Seen growing in Empty plot in residential area,2,0,false,,"Niphad, Nashik, India",20.084964,74.100021,19,,,,19,,,false,,,,Nashik,Maharashtra,India,Maharashtra,Nashik,common lantana,Lantana camara,common lantana,Plantae,50333
362820,479fe6b0-0550-4dd1-9d8c-c53ad4f5071b,2013-07-01,2013-07-01,,Central Time (US & Canada),7943,vijaybarve,Vijay Barve,2013-08-11 23:11:23 UTC,2020-01-15 23:39:37 UTC,research,CC-BY,http://www.inaturalist.org/observations/362820,https://inaturalist-open-data.s3.amazonaws.com/photos/452983/medium.JPG,,"VijayBarve, diversityindia, floraindia",Growing in backyard of a village house.,1,0,false,,"Kothure, Niphad, Nashik, India",20.046662,74.075218,,,,,,,,false,,,,Nashik,Maharashtra,India,Maharashtra,Nashik,hierba del toro (Tridax procumbens),Tridax procumbens,Tridax daisy,Plantae,169944
366697,483fa5f3-22a4-4f3a-be6a-0feda491617f,2013-07-05,2013-07-05,,Central Time (US & Canada),7943,vijaybarve,Vijay Barve,2013-08-16 04:27:37 UTC,2020-01-15 23:39:59 UTC,research,CC-BY,http://www.inaturalist.org/observations/366697,https://inaturalist-open-data.s3.amazonaws.com/photos/457913/medium.JPG,,"VijayBarve, diversityindia, floraindia",Seen growing in empty plots in residential area.,2,0,false,,"nashik, maharashtra, india",19.990638,73.757778,7,,,,7,,,false,,,,Nashik,Maharashtra,India,Maharashtra,Nashik,common lantana,Lantana camara,common lantana,Plantae,50333
367874,fec921d0-d5ad-4044-a898-48b0112471d2,"13 Nov, 2012",2012-11-13,,Mumbai,8826,chiefredearth,Chief RedEarth,2013-08-17 12:29:48 UTC,2020-01-15 23:44:51 UTC,research,CC-BY-NC-ND,http://www.inaturalist.org/observations/367874,https://inaturalist-open-data.s3.amazonaws.com/photos/459711/medium.JPG,,,,2,0,false,,ponmudi,8.759942,77.116875,1745,,,,1745,,,false,,,,Thiruvananthapuram,Kerala,India,Kerala,Thiruvananthapuram,Blue Porterweed,Stachytarpheta jamaicensis,Blue Porterweed,Plantae,169322
405056,21e2ee19-102f-4c08-898c-7ffced7dc11b,2011-07-26 10:24:35,2011-07-26,2011-07-26 20:24:35 UTC,Hawaii,22293,ramdasaswale,Ramdas Aswale,2013-09-22 17:19:47 UTC,2024-01-25 23:15:23 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/405056,https://inaturalist-open-data.s3.amazonaws.com/photos/506947/medium.JPG,,,,2,0,false,,"Virgaon,Akole,Ahmednagar,Maharashtra,India",19.609239,74.053323,20,,,,20,,open,false,,,,Ahmednagar,Maharashtra,India,Maharashtra,Ahmadnagar,puncture vine,Tribulus terrestris,puncture vine,Plantae,64238
430752,c2165d39-6507-4938-87c9-c220f2879612,2013-10-15 06:33:26,2013-10-15,2013-10-15 01:03:26 UTC,Mumbai,8826,chiefredearth,Chief RedEarth,2013-10-16 16:49:19 UTC,2020-01-15 23:48:08 UTC,research,CC-BY-NC-ND,http://www.inaturalist.org/observations/430752,https://inaturalist-open-data.s3.amazonaws.com/photos/542897/medium.JPG,,,,2,0,false,,vazhayila thiruvananthapuram,8.549304,76.977267,834,,,,834,,,false,,,,Thiruvananthapuram,Kerala,India,Kerala,Thiruvananthapuram,Yellow alder,Turnera ulmifolia,Yellow alder,Plantae,170055
436889,5a86867c-c396-4d31-af68-5b9e74cd02c2,2013-10-18,2013-10-18,,Mumbai,8826,chiefredearth,Chief RedEarth,2013-10-22 10:18:39 UTC,2021-08-28 12:38:00 UTC,research,CC-BY-NC-ND,http://www.inaturalist.org/observations/436889,https://inaturalist-open-data.s3.amazonaws.com/photos/549983/medium.JPG,,,,2,0,false,," J P Nagar, Bangalore, Karnataka 560078, India",12.910491,77.585717,6390,,,,6390,,,false,,,,Bangalore,Karnataka,India,Karnataka,Bangalore,Santa Maria feverfew,Parthenium hysterophorus,Santa Maria feverfew,Plantae,126424
436926,69f393f4-1214-4319-a2a3-f8be07558915,2013-10-20 09:56:10,2013-10-20,2013-10-20 04:26:10 UTC,Mumbai,8826,chiefredearth,Chief RedEarth,2013-10-22 14:40:35 UTC,2017-07-17 05:02:45 UTC,casual,CC-BY-NC-ND,http://www.inaturalist.org/observations/436926,https://inaturalist-open-data.s3.amazonaws.com/photos/550035/medium.JPG,,,,2,0,true,,"J.P. Nagar, Banguluru",12.910491,77.585717,6390,,,,6390,,,false,,,,Bangalore,Karnataka,India,Karnataka,Bangalore,Tropical Milkweed,Asclepias curassavica,tropical milkweed,Plantae,75602
448720,6551792c-f8f6-4ad2-90e7-95cf4a82ad1c,2013-11-05,2013-11-05,,Mumbai,8826,chiefredearth,Chief RedEarth,2013-11-05 16:15:22 UTC,2022-06-06 02:51:20 UTC,casual,CC-BY-NC-ND,http://www.inaturalist.org/observations/448720,https://inaturalist-open-data.s3.amazonaws.com/photos/565854/medium.jpg,,,,2,0,true,,Vazhayila Thiruvananthapuram,8.549304,76.977267,834,,,,834,,,false,,,,Thiruvananthapuram,Kerala,India,Kerala,Thiruvananthapuram,volubilis bleu,Ipomoea indica,oceanblue morning glory,Plantae,77496
468268,d12d9fc6-97de-4da9-a83e-3d79cf01e795,2013-11-24 09:39:30,2013-11-24,2013-11-24 04:09:30 UTC,Mumbai,8826,chiefredearth,Chief RedEarth,2013-11-26 13:06:15 UTC,2023-03-20 15:17:45 UTC,research,CC-BY-NC-ND,http://www.inaturalist.org/observations/468268,https://inaturalist-open-data.s3.amazonaws.com/photos/590831/medium.JPG,,,,2,0,false,,Mannamoola Proorkada,8.530986,76.976796,210,,,,210,,,false,,,,Thiruvananthapuram,Kerala,India,Kerala,Thiruvananthapuram,Xanana,Turnera subulata,Cuban Buttercup,Plantae,327909
471745,3de3032a-f777-4b31-bf9a-8657a4bc27d2,2013-12-01,2013-12-01,,Mumbai,8826,chiefredearth,Chief RedEarth,2013-12-01 17:12:58 UTC,2024-03-29 06:55:46 UTC,research,CC-BY-NC-ND,http://www.inaturalist.org/observations/471745,https://inaturalist-open-data.s3.amazonaws.com/photos/594626/medium.JPG,,,,2,0,false,,Aruvikkara Dam,8.5738,77.021084,2145,,,,2145,,,false,,,,Thiruvananthapuram,Kerala,India,Kerala,Thiruvananthapuram,Air Plant,Kalanchoe pinnata,Air Plant,Plantae,164333
522516,e3531d03-341a-4a0a-aebe-df6329dc3db1,2014-02-06,2014-02-06,,Mumbai,8826,chiefredearth,Chief RedEarth,2014-02-06 16:44:33 UTC,2023-01-27 12:10:00 UTC,research,CC-BY-NC-ND,http://www.inaturalist.org/observations/522516,https://inaturalist-open-data.s3.amazonaws.com/photos/665470/medium.JPG,,,,2,0,false,,ponmudi,8.673915,77.137818,1050,,,,1050,,open,false,,,,Thiruvananthapuram,Kerala,India,Kerala,Thiruvananthapuram,火焰樹,Spathodea campanulata,African tulip tree,Plantae,126566
562534,105e5a3b-aeaa-4f1e-95ca-505a98885173,2013-09-23 14:38:53,2013-09-23,2013-09-23 09:08:53 UTC,Mumbai,8826,chiefredearth,Chief RedEarth,2014-03-11 13:04:43 UTC,2021-10-26 04:11:35 UTC,research,CC-BY-NC-ND,http://www.inaturalist.org/observations/562534,https://inaturalist-open-data.s3.amazonaws.com/photos/716625/medium.jpg,,,,1,0,false,,Kuttichal,8.56554,77.099613,1771,,,,1771,,,false,,,,Thiruvananthapuram,Kerala,India,Kerala,Thiruvananthapuram,Koster's curse,Miconia crenata,Koster's curse,Plantae,1293231
562546,33f03734-d03e-45b7-8fd6-96ffb245fcec,2013-09-23 15:51:23,2013-09-23,2013-09-23 10:21:23 UTC,Mumbai,8826,chiefredearth,Chief RedEarth,2014-03-11 13:28:45 UTC,2025-03-23 19:14:43 UTC,research,CC-BY-NC-ND,http://www.inaturalist.org/observations/562546,https://inaturalist-open-data.s3.amazonaws.com/photos/716640/medium.jpg,,,,1,0,false,,Kuttichal,8.56554,77.099613,1771,,,,1771,,,false,,,,Thiruvananthapuram,Kerala,India,Kerala,Thiruvananthapuram,Brazilian bachelor's button,Centratherum punctatum,Brazilian bachelor's button,Plantae,160297
584380,0b7767b4-4994-4508-9eea-5e2d1edbbc3c,2014-03-14,2014-03-14,,Europe/London,14777,purnendu,Purnendu Roy,2014-03-26 23:18:21 UTC,2020-05-22 02:26:37 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/584380,https://inaturalist-open-data.s3.amazonaws.com/photos/742809/medium.JPG,,,Larval host plant for Appias olferna,1,0,false,,"Botanical gardens, Kolkata",22.556852,88.298553,,,,,,,,false,,,Kolkata and its Outskirts,Haora,West Bengal,India,West Bengal,Haora,Purple Cleome,Cleome rutidosperma,Purple Cleome,Plantae,160705
608254,394eac85-0467-406a-b9d6-32d220773d41,2014-04-03,2014-04-03,,Mumbai,8826,chiefredearth,Chief RedEarth,2014-04-05 02:53:22 UTC,2023-01-23 01:48:58 UTC,needs_id,CC-BY-NC-ND,http://www.inaturalist.org/observations/608254,https://inaturalist-open-data.s3.amazonaws.com/photos/766877/medium.JPG,,,,0,0,false,,Thiruvananthapuram,8.487495,76.948623,16221,,,,16221,,open,false,,,,Thiruvananthapuram,Kerala,India,Kerala,Thiruvananthapuram,Guamúchil,Pithecellobium dulce,Madras thorn,Plantae,166920
609966,316eaefc-44cf-49e0-9d1b-aab005632c84,,,,Hawaii,11318,satishnikam,Satish Nikam,2014-04-06 11:15:48 UTC,2014-10-20 17:56:06 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/609966,https://inaturalist-open-data.s3.amazonaws.com/photos/769075/medium.jpg,,,,1,0,false,,kurvande,18.701228,73.388553,7623,,,,7623,,,false,,,,Raigarh,Maharashtra,India,Maharashtra,Raigarh,Common Wireweed(Sida acuta),Sida acuta,Spinyhead Sida,Plantae,168922
611532,d5203a61-49c5-409b-b131-cd0e5adb92b1,2014-02-08 13:10:42,2014-02-08,2014-02-08 07:40:42 UTC,New Delhi,34585,subhajit_roy,Subhajit Roy,2014-04-07 04:38:56 UTC,2020-08-25 07:37:33 UTC,research,CC-BY,http://www.inaturalist.org/observations/611532,https://inaturalist-open-data.s3.amazonaws.com/photos/771063/medium.JPG,,,,3,0,false,,Malandighi,23.559305,87.405258,,,,,,,,false,,,,Barddhaman,West Bengal,India,West Bengal,Barddhaman,Argemone mexicana,Argemone mexicana,Mexican prickly poppy,Plantae,128533
611548,d0a6caaa-0642-49fd-a5df-e70611165953,2013-07-07 10:58:54,2013-07-07,2013-07-07 05:28:54 UTC,New Delhi,34585,subhajit_roy,Subhajit Roy,2014-04-07 05:05:42 UTC,2019-08-05 13:16:29 UTC,research,CC-BY,http://www.inaturalist.org/observations/611548,https://inaturalist-open-data.s3.amazonaws.com/photos/771082/medium.JPG,,,,2,0,false,,Durgapur,23.466918,87.321536,,,,,,,,false,,,,Bankura,West Bengal,India,West Bengal,Bankura,Solanum sisymbriifolium,Solanum sisymbriifolium,Red Buffalo-bur,Plantae,79143
626982,789ba4cd-345a-4d23-b106-bbd0221552b6,2013-01-20 10:53:50,2013-01-20,2013-01-20 05:23:50 UTC,New Delhi,34585,subhajit_roy,Subhajit Roy,2014-04-16 04:15:33 UTC,2024-10-16 21:39:08 UTC,research,CC-BY,http://www.inaturalist.org/observations/626982,https://inaturalist-open-data.s3.amazonaws.com/photos/788828/medium.JPG,,,,1,0,false,,Durgapur,23.49943,87.305228,,,,,,,,false,,,,Barddhaman,West Bengal,India,West Bengal,Barddhaman,Oxalis corniculata,Oxalis corniculata,Creeping Woodsorrel,Plantae,53168
